what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1381657098100
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381657135363
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381657135443
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1381657135544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657138354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657350773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657361533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657362673
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1381657366423
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1381657366484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657368523
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1381657373517
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1381657374297
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1381657374334
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1381657375100
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1381657375240
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1381657375291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657375355
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1381657377444
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1381657377663
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1381657377724
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1381657377727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657385525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657396363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657401245
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1381657406574
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1381657407437
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1381657407550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657409215
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381657411077
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381657411541
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1381657411787
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1381657412136
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1381657416153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381657426808
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1381657428490
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1381657428873
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1381657429178
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1381657429979
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381657430492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657433270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657495005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657495740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657650233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381657651275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381658675315
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381658680051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381658682937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381658686082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1381658686104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381658694974
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1381658701780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381658702331
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381658703050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381658713900
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381658715913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381658716038
